Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
Albertville,_Alabama	Albertville, Alabama	Albertville	The 
Alexander_City,_Alabama	Alexander City, Alabama	Alexander City	The Gateway to Lake Martin
Anniston,_Alabama	Anniston, Alabama	Anniston	The Model City
Auburn,_Alabama	Auburn, Alabama	Auburn	The Loveliest Village on the Plains
Bayou_La_Batre,_Alabama	Bayou La Batre, Alabama	Bayou La Batre	Seafood Capital of Alabama
Bessemer,_Alabama	Bessemer, Alabama	Bessemer	The Marvel City
Birmingham,_Alabama	Birmingham, Alabama	Birmingham	The Magic City
Birmingham,_Alabama	Birmingham, Alabama	Birmingham	The Pittsburgh of the South
Cedar_Bluff,_Alabama	Cedar Bluff, Alabama	Cedar Bluff	Crappie Capital of the World
Decatur,_Alabama	Decatur, Alabama	Decatur	The River City
Decatur,_Alabama	Decatur, Alabama	Decatur	The Chicago of the South
Decatur,_Alabama	Decatur, Alabama	Decatur	Ballooning Capital of Alabama
Decatur,_Alabama	Decatur, Alabama	Decatur	"Home of America's First Wave Pool"
Decatur,_Alabama	Decatur, Alabama	Decatur	Wave Pool Capital of the World
Demopolis,_Alabama	Demopolis, Alabama	citation needed	The Catfish Capital of the World
Dothan,_Alabama	Dothan, Alabama	Dothan	The Peanut Capital of the World
Douglas,_Alabama	Douglas, Alabama	Douglas	City of Eagles
Enterprise,_Alabama	Enterprise, Alabama	Enterprise	The Tornado Capital of the South
Eufaula,_Alabama	Eufaula, Alabama	Eufaula	Bass Capital of the World
Fort_Deposit,_Alabama	Fort Deposit, Alabama	Fort Deposit, Alabama	The Jewel of the Deep South
Fort_Payne,_Alabama	Fort Payne, Alabama	Fort Payne	Sock Capital of the World
Florence,_Alabama	Florence, Alabama	Florence, Alabama	Super Paradise
Florence,_Alabama	Florence, Alabama	Florence, Alabama	Country Club Sports Capital of the World
Greenville,_Alabama	Greenville, Alabama	Greenville	The Camellia City
Georgiana,_Alabama	Georgiana, Alabama	Georgiana	Birthplace of Hank Williams
Haleyville,_Alabama	Haleyville, Alabama	Haleyville	Home of 911
Hartselle,_Alabama	Hartselle, Alabama	Hartselle	The City of Southern Hospitality
Hueytown,_Alabama	Hueytown, Alabama	Hueytown	Home of the 
Huntsville,_Alabama	Huntsville, Alabama	Huntsville	The Rocket City
Huntsville,_Alabama	Huntsville, Alabama	Huntsville	Watercress Capital of the World
Jacksonville,_Alabama	Jacksonville, Alabama	Jacksonville	Gem of the Hill
Lincoln,_Alabama	Lincoln, Alabama	Lincoln	The Motorsports City
Madison,_Alabama	Madison, Alabama	Madison	Where Progress Meets Preservation
Mentone,_Alabama	Mentone, Alabama	Mentone	Camping Capital of the World
Mobile,_Alabama	Mobile, Alabama	Mobile	The Azalea City
Mobile,_Alabama	Mobile, Alabama	Mobile	The City of Six Flags
Mobile,_Alabama	Mobile, Alabama	Mobile	The Home of Mardi Gras
Monroeville,_Alabama	Monroeville, Alabama	Monroeville	Literary Capital of the World
Montgomery,_Alabama	Montgomery, Alabama	Montgomery	Capital of the South
Montgomery,_Alabama	Montgomery, Alabama	Montgomery	The Cradle of the Confederacy
Muscle_Shoals,_Alabama	Muscle Shoals, Alabama	Muscle Shoals	Recording Capital of the World
Ozark,_Alabama	Ozark, Alabama	Ozark	The Home of Fort Rucker
