AB	Abu Dhabi
AD	Adelaide
AK	Auckland
AM	Amsterdam
AN	Antwerp
AS	Athens
AT	Atlanta
BA	Buenos Aires
BB	Brisbane
BC	Barcelona
BD	Budapest
BG	Bogota
BJ	Beijing
BK	Bangkok
BL	Berlin
BM	Birmingham
BN	Bangalore
BR	Brussels
BS	Boston
BT	Beirut
BU	Bucharest
BV	Bratislava
CA	Cairo
CC	Calcutta
CG	Calgary
CH	Chicago
CL	Charlotte
CN	Chennai
CO	Cologne
CP	Copenhagen
CR	Caracas
CS	Casablanca
CT	Cape Town
CV	Cleveland
DA	Dallas
DB	Dublin
DS	Dusseldorf
DT	Detroit
DU	Dubai
DV	Denver
FR	Frankfurt
GN	Geneva
GZ	Guangzhou
HB	Hamburg
HK	Hong Kong
HL	Helsinki
HM	Hamilton
HS	Houston
HYD	Hyderabad
IN	Indianapolis
IS	Istanbul
JB	Johannesburg
JD	Jeddah
JK	Jakarta
KC	Kansas City
KL	Kuala Lumpur
KR	Karachi
KU	Kuwait
KV	Kiev
LA	Los Angeles
LB	Lisbon
LG	Lagos
LM	Lima
LN	London
LX	Luxembourg
LY	Lyons
MB	Mumbai
MC	Manchester
MD	Madrid
ME	Melbourne
MG	Mangalore
MI	Miami
ML	Milan
MM	Manama
MN	Manila
MP	Minneapolis
MS	Moscow
MT	Montreal
MU	Munich
MV	Montevideo
MX	Mexico
NC	Nicosia
ND	New Delhi
NR	Nairobi
NS	Nassau
NY	New York
OS	Oslo
PA	Paris
PB	Pittsburgh
PD	Portland
PE	Perth
PH	philadelphia
PL	Port Louis
PN	Panama City
PR	Prague
QU	Quito
RJ	Rio de Janeiro
RM	Rome
RT	Rotterdam
RY	Riyadh
SA	Santiago
SD	San Diego
SE	Seattle
SF	San Francisco
SH	Shanghai
SK	Stockholm
SL	Saint Louis
SO	Sofia
SP	Sao Paulo
ST	Stuttgart
SU	Seoul
SY	Sydney
TA	Tel Aviv
TP	Taipei
TR	Toronto
TY	Tokyo
VI	Vienna
VN	Vancouver
WC	Washington DC
WL	Wellington
WS	Warsaw
ZG	Zagreb
ZU	Zurich
