sen.	TITLE	13406
dr.	TITLE	9945
mr.	TITLE	7653
hi	TITLE	6344
foreign minister	TITLE	3413
gov.	TITLE	3400
associated press writer	TITLE	3135
staff writer	TITLE	2907
rev.	TITLE	2694
vice president	TITLE	2677
associated press writers	TITLE	2563
mr	TITLE	2358
times staff writer	TITLE	2253
thanks	TITLE	2253
secretary of state	TITLE	2229
sheikh	TITLE	2207
sir	TITLE	2168
~	TITLE	2016
former president	TITLE	2006
defense minister	TITLE	1929
president-elect	TITLE	1752
ap business writer	TITLE	1738
democrat	TITLE	1727
dr	TITLE	1714
premier	TITLE	1648
interior minister	TITLE	1563
mrs.	TITLE	1447
finance minister	TITLE	1425
midfielder	TITLE	1418
ms.	TITLE	1387
spokesman	TITLE	1355
watch	TITLE	1326
special correspondent	TITLE	1323
opposition leader	TITLE	1317
sheik	TITLE	1308
blondesense	TITLE	1293
striker	TITLE	1236
house speaker	TITLE	1198
maj. gen.	TITLE	1195
justice	TITLE	1182
defender	TITLE	1139
former prime minister	TITLE	1137
police spokesman	TITLE	1115
said	TITLE	1083
visit	TITLE	1024
ap writer	TITLE	1017
lt. col.	TITLE	946
government spokesman	TITLE	932
defense attorney	TITLE	898
rebel spokesman	TITLE	888
e-mail	TITLE	839
maj.	TITLE	771
capt.	TITLE	762
agent	TITLE	738
country singer	TITLE	731
world champion	TITLE	726
sgt.	TITLE	722
magen	TITLE	700
recep	TITLE	692
angel	TITLE	673
justice minister	TITLE	667
former sen.	TITLE	659
goalkeeper	TITLE	627
bear	TITLE	596
lord	TITLE	593
prime minister recep	TITLE	593
health minister	TITLE	584
sens.	TITLE	563
brig. gen.	TITLE	562
spokeswoman	TITLE	539
substitute	TITLE	531
defense lawyer	TITLE	520
skipper	TITLE	504
white house spokesman	TITLE	496
poor	TITLE	493
information minister	TITLE	485
chief justice	TITLE	481
download	TITLE	477
brigadier general	TITLE	477
commissioner	TITLE	468
times researcher	TITLE	468
staff researcher	TITLE	453
rookie	TITLE	451
top seed	TITLE	444
contact	TITLE	443
winger	TITLE	432
urgent	TITLE	430
political analyst	TITLE	426
white house spokeswoman	TITLE	419
fast bowler	TITLE	410
foreign secretary	TITLE	396
state sen.	TITLE	394
prof.	TITLE	388
ap reporter	TITLE	383
quarterback	TITLE	377
speaker	TITLE	375
typhoon	TITLE	368
owner	TITLE	366
